experiment_group,n,pre_mean,post_mean,gain_mean,comprehension_mean,pre_sd,post_sd,gain_sd,comprehension_sd
CHATGPT,88,2.329545454545455,3.159090909090909,.8295454545454546,1.363636363636364,1.817675608737652,1.899100595571575,1.391448355723549,.912012025805697
IRIS,91,2.175824175824176,2.89010989010989,.7142857142857143,1.428571428571429,1.947039956180816,1.923252739215806,1.249761882081847,.8710511803161501
NOAI,96,1.916666666666667,2.770833333333333,.8541666666666666,1.177083333333333,1.861898672502525,1.981382646785435,1.56258333111123,.894365893176385
